"EXPERTO","CL1","CL2","CL3","CL4","CL5","CL6","CL7","CL8","CL9","CL10","CL11","CL12","CL13","CL14","CL15","CL16","CL17","CL18"
"ID1",4,4,5,4,5,5,4,5,4,4,5,4,4,4,5,5,4,5
"ID2",5,4,4,4,4,5,4,5,5,5,4,5,5,4,5,4,5,4
"ID3",5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,4,4,4
"ID4",5,5,4,5,4,5,5,5,5,5,4,5,4,5,4,4,4,4
"ID5",5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5
"ID6",5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5
"ID7",5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4
"ID8",5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4
"ID9",5,5,5,4,5,4,5,4,5,4,5,5,4,4,4,4,4,5
"ID10",5,5,4,5,4,5,5,5,5,5,5,5,4,4,5,4,4,4
